Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Angola,AGO,Starting a business: Procedures required - Women (number),IC.REG.PROC.FE.NO,12,12,12,12,12,8,8,8,8,8,8,8,8,7,8,8,8
Antigua and Barbuda,ATG,Ease of doing business score (DB15 methodology),IC.BUS.EASE.DFRN.DB15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Getting credit (DB05-14 methodology) - Score,IC.CRED.ACC.CRD.DB0514.DFRN,..,..,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,..,..,..,..,..,..
Antigua and Barbuda,ATG,Getting credit (DB15-20 methodology) - Score,IC.CRED.ACC.CRD.DB1519.DFRN,..,..,..,..,..,..,..,..,..,..,25,25,25,25,25,25,25
Antigua and Barbuda,ATG,Getting electricity (DB16-20 methodology) - Score,IC.ELC.ACES.DFRN.DB1619,..,..,..,..,..,..,..,..,..,..,..,80.3,80.4,80.4,80.4,80.4,83.5
Antigua and Barbuda,ATG,Getting electricity (DB10-15 methodology) - Score,IC.ELC.ACES.DFRN.DB1015,..,..,..,..,..,..,90.5,90.4,90.3,90.4,90.4,90.5,..,..,..,..,..
Antigua and Barbuda,ATG,Getting electricity: Cost to get electricity (% of income per capita),IC.ELC.ACS.COST,..,..,..,..,..,..,116.4,132.2,150.1,131.3,126.2,122.9,118.8,117.6,114.9,109.9,101.3
Antigua and Barbuda,ATG,Getting electricity: Price of electricity (US cents per kWh) (DB16-20 methodology),IC.ELC.PRI.KH.DB1619,..,..,..,..,..,..,..,..,..,..,..,50.7,44.5,44.2,43.2,43.7,44.9
Antigua and Barbuda,ATG,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,..,..,..,..,..,..,..,..,..,..,..,..,59.2,58.8,59.8,59.9,60.3
Antigua and Barbuda,ATG,Global: Ease of doing business score (DB15 methodology),IC.BUS.EASE.DFRN.DB16,..,..,..,..,..,..,..,..,..,..,59.7,59.7,..,..,..,..,..
Antigua and Barbuda,ATG,Global: Ease of doing business score (DB10-14 methodology),IC.BUS.EASE.DFRN.DB1014,..,..,..,..,..,..,63.3,63,62.8,62.1,62.1,..,..,..,..,..,..
Antigua and Barbuda,ATG,Getting electricity: Total duration and frequency of outages per customer a year (0-3) (DB16-20 methodology),IC.ELC.OUTG.FREQ.DURS.03.DB1619,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,1,2
Antigua and Barbuda,ATG,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113
Antigua and Barbuda,ATG,Rank: Getting credit (1=most business-friendly regulations),IC.CRED.ACC.CRD.RK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,165
Antigua and Barbuda,ATG,Rank: Starting a business (1=most business-friendly regulations),IC.REG.STRT.BUS.RK.DB19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,130
Antigua and Barbuda,ATG,Starting a business - Score,IC.REG.STRT.BUS.DFRN,..,..,80.3,81.3,81.4,81.4,81.7,81.5,81.3,81.5,81.6,81.6,81.7,81.7,81.7,81.7,82.6
Antigua and Barbuda,ATG,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,..,..,12.5,12,11.3,11.1,9.2,10.5,11.9,10.4,10,9.7,9.4,9.3,9.1,8.7,8
Antigua and Barbuda,ATG,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,..,..,12.5,12,11.3,11.1,9.2,10.5,11.9,10.4,10,9.7,9.4,9.3,9.1,8.7,8
Antigua and Barbuda,ATG,Starting a business: Procedures required - Men (number),IC.REG.PROC.MA.NO,..,..,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Antigua and Barbuda,ATG,Starting a business: Procedures required - Women (number),IC.REG.PROC.FE.NO,..,..,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Argentina,ARG,Ease of doing business score (DB15 methodology),IC.BUS.EASE.DFRN.DB15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Getting credit (DB05-14 methodology) - Score,IC.CRED.ACC.CRD.DB0514.DFRN,..,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,..,..,..,..,..,..
Argentina,ARG,Getting credit (DB15-20 methodology) - Score,IC.CRED.ACC.CRD.DB1519.DFRN,..,..,..,..,..,..,..,..,..,..,50,50,50,50,50,50,50
Argentina,ARG,Getting electricity (DB16-20 methodology) - Score,IC.ELC.ACES.DFRN.DB1619,..,..,..,..,..,..,..,..,..,..,..,70,70,70,70,70,70
Argentina,ARG,Getting electricity (DB10-15 methodology) - Score,IC.ELC.ACES.DFRN.DB1015,..,..,..,..,..,..,72.6,72.6,72.6,72.6,72.6,72.4,..,..,..,..,..
Argentina,ARG,Getting electricity: Cost to get electricity (% of income per capita),IC.ELC.ACS.COST,..,..,..,..,..,..,45.7,46.3,37.6,32,37.3,41.9,24.9,32.2,24.5,21,15.5
Argentina,ARG,Getting electricity: Price of electricity (US cents per kWh) (DB16-20 methodology),IC.ELC.PRI.KH.DB1619,..,..,..,..,..,..,..,..,..,..,..,9.4,7,8.8,10.6,15.5,10.8
Argentina,ARG,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,..,..,..,..,..,..,..,..,..,..,..,..,56.7,57.2,57.3,58.2,59
Argentina,ARG,Global: Ease of doing business score (DB15 methodology),IC.BUS.EASE.DFRN.DB16,..,..,..,..,..,..,..,..,..,..,56.2,56.3,..,..,..,..,..
Argentina,ARG,Global: Ease of doing business score (DB10-14 methodology),IC.BUS.EASE.DFRN.DB1014,..,..,..,..,..,..,57.8,57.5,57.9,56.5,56.2,..,..,..,..,..,..
Argentina,ARG,Getting electricity: Total duration and frequency of outages per customer a year (0-3) (DB16-20 methodology),IC.ELC.OUTG.FREQ.DURS.03.DB1619,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0
Argentina,ARG,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,126
Argentina,ARG,Rank: Getting credit (1=most business-friendly regulations),IC.CRED.ACC.CRD.RK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,104
Argentina,ARG,Rank: Starting a business (1=most business-friendly regulations),IC.REG.STRT.BUS.RK.DB19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,141
